,RunNumber,EnergyMagnetCurrent,TheoreticalBeamEnergy,NumberofEvents,ActualBeamEnergy,ConfigFile,Threshold,MaterialType,MaterialThickness,MaterialThicknessError,RawFileSize,Collimator,GearFile,DUTPosition,Date
,2149,112.2,3,,,,7,Copper,2mm,,,,,,
,2150,112.2,3,,,,7,Copper,2mm,,,,,,
,2151,112.2,3,,,,7,Copper,2mm,,,,,,
,2152,112.2,3,,,,7,Copper,2mm,,,,,,
,2153,112.2,3,,,,7,Copper,2mm,,,,,,
,2154,112.2,3,,,,7,Copper,2mm,,,,,,
,2155,112.2,3,,,,7,Copper,2mm,,,,,,
,2156,112.2,3,,,,7,Copper,2mm,,,,,,
,2157,112.2,3,,,,7,Copper,2mm,,,,,,
,2158,74.8,2,,,,7,Copper,2mm,,,,,,
,2159,74.8,2,,,,7,Copper,2mm,,,,,,
,2160,74.8,2,,,,7,Copper,2mm,,,,,,
,2162,74.8,2,,,,7,Copper,2mm,,,,,,
,2163,74.8,2,,,,7,Copper,2mm,,,,,,
,2164,74.8,2,,,,7,Copper,2mm,,,,,,
,2165,74.8,2,,,,7,Copper,2mm,,,,,,
,2166,74.8,2,,,,7,Copper,2mm,,,,,,
,2167,74.8,2,,,,7,Copper,2mm,,,,,,
,2168,74.8,2,,,,7,Copper,2mm,,,,,,
,2169,74.8,2,,,,7,Copper,2mm,,,,,,
,2170,74.8,2,,,,7,Copper,2mm,,,,,,
,2171,74.8,2,,,,7,Copper,2mm,,,,,,
,2172,74.8,2,,,,7,Copper,2mm,,,,,,
,2173,74.8,2,,,,7,Copper,2mm,,,,,,
,2174,74.8,2,,,,7,Copper,2mm,,,,,,
,2175,0,0,Noise Test,,,7,Copper,2mm,,,,,,
,2176,37.4,1,,,,7,Copper,2mm,,,,,,
,2178,37.4,1,,,,7,Copper,2mm,,,,,,
,2179,37.4,1,,,,7,Copper,2mm,,,,,,
,2180,37.4,1,,,,7,Copper,2mm,,,,,,
,2181,37.4,1,,,,7,Copper,2mm,,,,,,
,2182,37.4,1,,,,7,Copper,2mm,,,,,,
,2183,37.4,1,,,,7,Copper,2mm,,,,,,
,2184,37.4,1,,,,7,Copper,2mm,,,,,,
,2185,37.4,1,,,,7,Copper,2mm,,,,,,
,2186,37.4,1,,,,7,Copper,2mm,,,,,,
,2187,37.4,1,,,,7,Copper,2mm,,,,,,
,2188,37.4,1,,,,7,Copper,2mm,,,,,,
,2189,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2190,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2191,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2192,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2193,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2194,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2195,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2196,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2197,37.4,1,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2198,74.8,2,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2199,74.8,2,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2200,74.8,2,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2201,74.8,2,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2202,74.8,2,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2204,187,5,,,,7,2 Copper and 1 Aluminium,3mm total,,,,,,
,2205,187,5,Alignment Run,,,7,No DUT,0,,,,,,
