RunNumber,BeamEnergy,ActualBeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile,AlignmentRunNumber,ResidualXMin,ResidualXMax,ResidualYMin,ResidualYMax
8888,2.2,0,9 hole aluminium,1200000,6,gear_close_together.xml,008872,,,,
8889,2.4,0,9 hole aluminium,1700000,6,gear_close_together.xml,008872,,,,
8890,2.6,0,9 hole aluminium,1200000,6,gear_close_together.xml,008872,,,,
8891,2.8,0,9 hole aluminium,1400000,6,gear_close_together.xml,008872,,,,
8892,3.2,0,9 hole aluminium,1000000,6,gear_close_together.xml,008872,,,,
8893,3.4,0,9 hole aluminium,1000000,6,gear_close_together.xml,008872,,,,
8894,3.6,0,9 hole aluminium,1000000,6,gear_close_together.xml,008872,,,,
8895,3.8,0,9 hole aluminium,1200000,6,gear_close_together.xml,008872,,,,
8896,4.2,0,9 hole aluminium,1000000,6,gear_close_together.xml,008872,,,,
8897,4.4,0,9 hole aluminium,1900000,6,gear_close_together.xml,008872,,,,
8898,4.6,0,9 hole aluminium,1000000,6,gear_close_together.xml,008872,,,,
8899,4.8,0,9 hole aluminium,1000000,6,gear_close_together.xml,008872,-200 -200 -300 -800 -1200 -1500,200 200 300 800 1200 1500,-400 -400 -400 -500 -600 -700,400 400 400 500 600 700
8900,2,2.44,watch,1000000,6,gear_close_together.xml,8900,,,,
8901,2,2.44,watch,1000000,6,gear_close_together.xml,8901,,,,
8902,5,5.4,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,100000,6,gear_close_together.xml,8902,,,,
8903,1,1.29,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,1000000,6,gear_close_together.xml,8903,,,,
8904,4,4.76,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,1000000,6,gear_close_together.xml,8904,,,,
8905,4,4.76,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,1000000,6,gear_close_together.xml,8905,,,,
8906,4,4.76,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,1000000,6,gear_close_together.xml,8906,,,,
8907,4,4.76,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,1000000,6,gear_close_together.xml,8907,,,,
8908,3,3.6,PTFE Black Tape,1000000,6,gear_close_together.xml,8908,,,,
8909,3,3.6,PTFE Black Tape and Chip,1000000,6,gear_close_together.xml,8909,,,,
8910,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8910,,,,
8911,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8911,,,,
8912,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8912,,,,
8913,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8913,,,,
8917,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8917,,,,
8918,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8918,,,,
8919,3,3.6,PTFE Black Tape and Chip (no collimator),100000,6,gear_close_together.xml,8919,,,,
1,5,5.4,0,1000000,6,gear_weekend.xml,1,-200 -200 -300 -1200 -1200 -1200,200 200 300 1200 1200 1200,-400 -400 -400 -400 -500 -600,400 400 400 400 500 600
2,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
3,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
4,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
5,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
6,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
7,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
8,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
9,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
10,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
11,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
12,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
13,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
14,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
15,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
16,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
17,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
18,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
19,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
20,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
21,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
22,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
23,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,200000,6,gear_weekend.xml,1,,,,
24,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
25,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
26,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
27,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
28,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
29,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
30,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
31,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
32,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
33,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
34,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
35,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
36,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
37,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
38,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
39,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
40,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
41,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
42,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
43,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
44,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
45,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
46,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
47,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
48,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
49,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
50,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
51,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
52,3,3.6,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml,1,,,,
