RunNumber,PedestalRunNumber,TelescopeRunNumber,BeamEnergy,GearGeoFile
613,000602,001057,4.4,gear-noDUTs-aligned-613.xml
602,000602,,,gear-stripSensor.xml
1057,000602,,,gear-stripSensor.xml


