RunNumber,BeamEnergy,GearGeoFile
241,4.4,alignedGear-iter5-run000241.xml 
286,3,alignedGear-iter9-run000286.xml
273,5,alignedGear-iter9-run000286.xml
290,4.4,alignedGear-iter9-run000286.xml
