RunNumber,BeamEnergy,Threshold,GearGeoFile
105,4.4,6,alignedGear-iter4-run000105.xml
442,4,6,alignedGear-iter4-run000442.xml
692,4,6,alignedGear-iter5-TEST-run000692.xml  

