RunNumber,BeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile
2,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
3,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
4,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
5,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
6,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
7,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
8,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
9,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
10,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
11,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
12,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
13,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
14,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
15,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
16,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
17,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
18,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
19,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
20,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
21,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
