RunNumber,BeamEnergy,Threshold,GearGeoFile
261,5.0,5.0,gear_desy2012_20mm.xml
262,5.0,6.0,gear_desy2012_20mm.xml
263,5.0,7.0,gear_desy2012_20mm.xml
264,5.0,8.0,gear_desy2012_20mm.xml
265,5.0,9.0,gear_desy2012_20mm.xml
266,5.0,10.0,gear_desy2012_20mm.xml
267,5.0,11.0,gear_desy2012_20mm.xml
268,5.0,12.0,gear_desy2012_20mm.xml
5037,2.0,3.0,gear_desy2012_150mm.xml
5039,2.0,4.0,gear_desy2012_150mm.xml
5040,2.0,4.0,gear_desy2012_150mm.xml
5041,2.0,5.0,gear_desy2012_150mm.xml
5042,2.0,5.0,gear_desy2012_150mm.xml
5043,2.0,6.0,gear_desy2012_150mm.xml
5044,2.0,6.0,gear_desy2012_150mm.xml
5045,2.0,7.0,gear_desy2012_150mm.xml
5046,2.0,7.0,gear_desy2012_150mm.xml
5047,2.0,8.0,gear_desy2012_150mm.xml
5048,2.0,8.0,gear_desy2012_150mm.xml
5049,2.0,8.0,gear_desy2012_150mm.xml
5051,2.0,9.0,gear_desy2012_150mm.xml
5052,2.0,10.0,gear_desy2012_150mm.xml
5054,2.0,11.0,gear_desy2012_150mm.xml
5056,2.0,12.0,gear_desy2012_150mm.xml
5057,3.0,12.0,gear_desy2012_150mm.xml
5058,3.0,11.0,gear_desy2012_150mm.xml
5059,3.0,10.0,gear_desy2012_150mm.xml
5060,3.0,9.0,gear_desy2012_150mm.xml
5061,3.0,8.0,gear_desy2012_150mm.xml
5062,3.0,7.0,gear_desy2012_150mm.xml
5063,3.0,6.0,gear_desy2012_150mm.xml
5064,3.0,5.0,gear_desy2012_150mm.xml
5065,3.0,4.0,gear_desy2012_150mm.xml
5066,3.0,3.0,gear_desy2012_150mm.xml
5067,3.0,3.0,gear_desy2012_150mm.xml
5068,5.0,3.0,gear_desy2012_150mm.xml
5069,5.0,4.0,gear_desy2012_150mm.xml
5070,5.0,5.0,gear_desy2012_150mm.xml
5071,5.0,6.0,gear_desy2012_150mm.xml
5073,5.0,7.0,gear_desy2012_150mm.xml
5074,5.0,8.0,gear_desy2012_150mm.xml
5075,5.0,9.0,gear_desy2012_150mm.xml
5076,5.0,10.0,gear_desy2012_150mm.xml
5078,5.0,10.0,gear_desy2012_150mm.xml
5079,5.0,11.0,gear_desy2012_150mm.xml
5080,5.0,12.0,gear_desy2012_150mm.xml
