RunNumber,BeamEnergy,Threshold,GearGeoFile
33,5,6,gear_test_case.xml
97,4.4,7.0,gear_desy2012_150mm.xml
272,5,6,gear_lam_1T.xml
1297,9,6,gearSlac.xml
613,4.4,6,gear_merged.xml 
